Source,Fe,S,Co,Cu,Zn,As,Se,Mo,Ag,Sb,Pb,Stoichiometry
C,449100,523800,22.2,110.1,0.8784,52.2,3.2,0.97,0.213465,0.0056505,66.1,999485.0109
C,449100,523800,8.6,8.2,0.8784,8.62,4.43,0.07,0.067395,0.0031774,7.4,999730.6094
C,449100,523800,54,182,0.8784,101,4.1,7.8,0.06968,0.00376785,122,999238.0266
C,449100,523800,112,325,334,113,2,27,0.078735,8.5,239,998565.4213
C,449100,523800,134,229,3.2717,89.3,2.9,10,0.22,5.87,205,999044.4383
C,449100,523800,6.1,117,19.1235,47.4,4.564,109,0.6137,5.1,70.3,999341.7988
C,449100,523800,2.06,12.2,2.0398,3.4,4.6,11.3,0.066355,1.28,5.4,999766.6538
C,449100,523800,52,156,3.12265,101,6.2,5,0.074295,6.17,29.9,999392.5331
C,449100,523800,40.3,67,35,131,0.8757,0.8,0.110815,5.21,90,999409.7035
C,449100,523800,71.1,93,29.8,85,1.47465,1.44,0.165885,3.01,91.4,999359.6095
C,449100,523800,0.68,40.1,3.5,22.4,1.84,0.84,0.069345,3.7,80,999660.8707
C,449100,523800,9.1,154,39,509,15,3.9,0.13081,14.3,345,998748.5692
C,449100,523800,0.115015,17.1,1.395,304,6,1.99,0.078475,3.43,51,999443.8915
C,449100,523800,29.5,79,25.1,111,0.82865,0.52,0.088485,10.2,184,999333.7629
C,449100,523800,3.26,17.8,10.1,17.5,3.3,0.26,0.078695,0.89,20,999725.8113
C,449100,523800,61.6,123,330,155,9.3,32.8,0.073105,9.31,264,998782.9169
C,449100,523800,20.9,39,11,81,3.4,2.4,0.068445,4,99,999557.2316
C,449100,523800,61,76,24,2.9,2.72565,0.18959,0.42071,0.26975,56,999526.4943
C,449100,523800,161,620,520,111,1.7,9.8,0.088095,8.8,251,998042.6119
C,449100,523800,51,66.3,4.16175,7,1.016,0.17,0.0978,1.3,40.6,999646.3545
C,449100,523800,53.5,80,95,58.1,0.97575,1.14,0.086475,2.71,111,999369.4878
C,449100,523800,145,152,52,36.1,1.19705,11.8,0.11963,3.69,131,999228.0933
C,449100,523800,95,19.6,3.17865,0.293,0.87355,0.035981,0.113635,0.10324,22.1,999594.7019
C,449100,523800,17.8,97,2.1286,2.4,1.9,0.14,0.08867,0.54,65,999577.0027
C,449100,523800,98,33.2,6.638,65.3,1.59215,0.56,0.16328,3.34,66,999523.2066
C,449100,523800,107,63,3.03615,79.7,1.7,0.6,0.091645,2.69,44.7,999458.4822
C,449100,523800,32,69.4,2.18995,75.2,0.5848,0.93,0.066,3.3,78.7,999534.6293
D,381900,438300,220,320,380,5000,2.5422,1.27,0.303905,92,410,993235.8839
D,381900,438300,640,680,25.8855,14000,10.4395,1.3359,1.25275,1.8292,2.3528,984016.9044
D,381900,438300,14.274,660,2470,3500,35.7465,5.0547,5.1245,7.9195,270,992553.8808
D,381900,438300,370,490,386.445,3500,4.8187,0.95437,0.6579,71,200,994596.124
D,381900,438300,770,210,82.855,6900,3.3836,0.75609,1.33,84,340,990907.6753
D,381900,438300,660,33.7105,300,8800,9.877,1.9562,1.69505,2.05065,3.3455,989437.3651
D,381900,438300,1.39355,11.84,106.335,2.0132,4.0455,0.52519,0.64585,1.09125,0.9153,999869.7007
D,381900,438300,81.9,41.8,101.3,118,0.63735,9.5,1.01,13.5,68,999227.3527
D,381900,438300,89,62.5,119,187,0.74935,18.3,0.86,19.1,129,999093.4907
D,381900,438300,140,282,910,2600,7.31,4.4,0.97055,92,310,995650.8993
D,381900,438300,198,800,1340,5010,6.138,11.7,0.73445,136,830,991346.4276
D,381900,438300,11.0955,79.18,10400,12.2295,27.7725,1.96025,3.97365,117,1960,986926.7886
D,381900,438300,29.7905,229.34,1227.1,1900,71.56,7.0685,9.742,119,250,995986.399
D,381900,438300,8.5755,44.507,238.805,10.482,17.797,1.98335,2.54365,2.8656,320,999182.4409
